,Nome,Preço,Link
0,Geladeira Brastemp Frost Free Duplex 375L Branca,"R$ 3.710,00",https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-branca-com-compartimento-extrafrio-fresh-zone-brm44hb-110/p/013085501/ed/refr/
1,Geladeira Electrolux Frost Free 310L Duplex Cor Inox (TF39S),"R$ 2.799,00",https://www.magazineluiza.com.br/geladeira-electrolux-frost-free-310l-duplex-cor-inox-tf39s/p/dcgc6g36h3/ed/refr/
2,Geladeira/Refrigerador Electrolux Manual,"R$ 2.799,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-manual-duplex-260l-cycle-defrost-dc35a-branco/p/013070601/ed/refr/
3,Geladeira/Refrigerador Electrolux 240L RE31,"R$ 2.599,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-240l-re31-branco/p/013070001/ed/ref1/
4,Geladeira Brastemp Frost Free Duplex 375L Inox,"R$ 4.270,00",https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375l-inox-compartimento-extrafrio-fresh-zone-brm44hk-110v/p/013085700/ed/refr/
5,Geladeira/Refrigerador Electrolux Frost Free,"R$ 4.970,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-branca-431l-tf55-top-freezer/p/013016501/ed/ref2/
6,Geladeira Consul Frost Free Duplex 340 L Branca,"R$ 3.360,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-340-l-branca-com-prateleiras-altura-flex-110v-crm39abana/p/013086600/ed/refr/
7,Geladeira/Refrigerador Electrolux Frost Free,"R$ 4.340,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-371l-dfn41-branca/p/013080601/ed/refr/
8,Geladeira/Refrigerador Brastemp Frost Free Duplex,"R$ 4.588,36",https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-duplex-branco-462l-brm55/p/236702100/ed/refr/
9,Geladeira/Refrigerador Panasonic Frost Free Duplex,"R$ 5.199,00",https://www.magazineluiza.com.br/geladeira-refrigerador-panasonic-frost-free-duplex-aco-escovado-387l-top-freezer-bt41x/p/234707300/ed/refr/
10,Geladeira/Refrigerador Electrolux Frost Free,"R$ 4.759,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inverse-branca-400l-db44/p/235130100/ed/rinv/
11,Geladeira Consul Frost Free Duplex 386 litros com Altura Flex cor Inox CRM44AK,"R$ 4.999,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-386-litros-com-altura-flex-cor-inox-crm44ak/p/bca8j6314c/ed/refr/
12,Geladeira Consul Frost Free Duplex 340 litros com Prateleiras Altura Flex cor inox - CRM39AK,"R$ 4.689,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-340-litros-com-prateleiras-altura-flex-cor-inox-crm39ak/p/eh6fh60jce/ed/refr/
13,Geladeira Cycle Defrost Electrolux 240 Litros Degelo Prático Branco RE31 - 110V,"R$ 1.988,42",https://www.magazineluiza.com.br/geladeira-cycle-defrost-electrolux-240-litros-degelo-pratico-branco-re31-110v/p/aagf2h05h6/ed/ref1/
14,Geladeira/Refrigerador Brastemp Frost Free Duplex,"R$ 4.956,30",https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-duplex-462l-brm55/p/236701900/ed/refr/
15,Geladeira Consul Frost Free Duplex 450L Inox,"R$ 4.799,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-450l-inox-com-painel-eletronico-externo-espaco-flex-crm56hk/p/013093000/ed/refr/
16,Geladeira/Refrigerador Panasonic Frost Free,"R$ 5.199,00",https://www.magazineluiza.com.br/geladeira-refrigerador-panasonic-frost-free-inverse-black-glass-397l-nr-bb41gv1ba/p/236915100/ed/rinv/
17,Geladeira Consul Frost Free Duplex 450L Branca,"R$ 4.599,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-450l-branca-com-painel-eletronico-externo-espaco-flex-crm56hb/p/013092000/ed/refr/
18,Geladeira/Refrigerador Esmaltec Degelo Manual,"R$ 2.799,00",https://www.magazineluiza.com.br/geladeira-refrigerador-esmaltec-degelo-manual-1-porta-branco-245l-roc31/p/013019401/ed/ref1/
19,Geladeira Electrolux Frost Free 402L Duplex Cor Inox (DF44S),"R$ 4.799,00",https://www.magazineluiza.com.br/geladeira-electrolux-frost-free-402l-duplex-cor-inox-df44s/p/bfag9cf41j/ed/refr/
20,Geladeira/Refrigerador Electrolux Frost Free,"R$ 5.029,90",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-platinum-474l-tf56s-top-freezer/p/222430900/ed/ref2/
21,Geladeira/Refrigerador Electrolux Frost Free Inox,"R$ 4.479,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inox-duplex-371l-dfx41/p/013080800/ed/refr/
22,Geladeira/Refrigerador Electrolux Frost Free,"R$ 4.830,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-platinium-431l-tf55s-top-freezer/p/013016700/ed/ref2/
23,Geladeira/Refrigerador Panasonic Frost Free Duplex,"R$ 4.199,00",https://www.magazineluiza.com.br/geladeira-refrigerador-panasonic-frost-free-duplex-branca-387l-top-freezer-bt41/p/234707400/ed/refr/
24,Geladeira Brastemp Frost Free 443L Inox,"R$ 6.300,00",https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-443l-inox-com-turbo-ice-inverse-bre57ak-110v/p/013082000/ed/rinv/
25,Geladeira Consul Frost Free Duplex 410 litros com Espaço Flex cor Branca Com Controle Interno de Temperatura CRM50HB,"R$ 4.179,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-410-litros-com-espaco-flex-cor-branca-com-controle-interno-de-temperatura-crm50hb/p/dd0h1j6839/ed/refr/
26,Geladeira Consul Frost Free Duplex 340 litros Branca com Prateleiras Altura Flex - CRM39AB,"R$ 4.709,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-340-litros-branca-com-prateleiras-altura-flex-crm39ab/p/dh4gfb5edh/ed/refr/
27,Geladeira/Refrigerador Consul Frost Free Duplex,"R$ 3.455,86",https://www.magazineluiza.com.br/geladeira-refrigerador-consul-frost-free-duplex-branco-386l-crm44/p/236160600/ed/refr/
28,Geladeira/Refrigerador Electrolux Frost Free,"R$ 7.449,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-duplex-branca-474l-it56/p/235510500/ed/ref2/
29,Geladeira / Refrigerador Electrolux 260 Litros Defrost 2 Portas Classe A DC35A,"R$ 3.037,90",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-260-litros-defrost-2-portas-classe-a-dc35a/p/7646484/ed/ref2/
30,Geladeira Electrolux Frost Free Inverter 488L Experience Fresh&Flex Inverse Branca (IB55),"R$ 6.359,00",https://www.magazineluiza.com.br/geladeira-electrolux-frost-free-inverter-488l-experience-fresh-flex-inverse-branca-ib55/p/gjf3j7dkd6/ed/rinv/
31,Geladeira/Refrigerador Brastemp Frost Free,"R$ 8.503,32",https://www.magazineluiza.com.br/geladeira-refrigerador-brastemp-frost-free-french-door-554l-bro85/p/236161400/ed/grfd/
32,Geladeira/Refrigerador Consul Cycle Defrost Duplex,"R$ 2.999,00",https://www.magazineluiza.com.br/geladeira-refrigerador-consul-cycle-defrost-duplex-branca-334l-crd37-ebana/p/202957200/ed/ref2/
33,Geladeira Consul Frost Free Duplex 397 litros Evox com freezer embaixo - CRE44BK,"R$ 5.529,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-397-litros-evox-com-freezer-embaixo-cre44bk/p/fc14g9dj53/ed/refr/
34,Geladeira Consul Frost Free Duplex 410L Cor Inox,"R$ 4.199,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-410l-cor-inox-com-controle-interno-de-temperatura-crm50hk/p/013095000/ed/refr/
35,Geladeira/Refrigerador Electrolux Inverter,"R$ 6.600,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-inverter-frost-free-duplex-platinum-474l-it56s/p/233271500/ed/refr/
36,Geladeira/Refrigerador Panasonic Frost Free,"R$ 4.499,00",https://www.magazineluiza.com.br/geladeira-refrigerador-panasonic-frost-free-inverse-titanio-397l-nr-bb41pv1ta/p/236914900/ed/rinv/
37,Geladeira Consul Frost Free Duplex 386 litros com Altura Flex cor branca CRM44AB,"R$ 4.449,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-386-litros-com-altura-flex-cor-branca-crm44ab/p/dh3d9a3b14/ed/refr/
38,Refrigerador Brastemp Frost Free 443L Inox com Turbo Ice Inverse BRE57AK,"R$ 6.999,00",https://www.magazineluiza.com.br/refrigerador-brastemp-frost-free-443l-inox-com-turbo-ice-inverse-bre57ak/p/ec608079ak/ed/rinv/
39,Geladeira Brastemp Frost Free Duplex 375 litros cor Inox com Espaço Adapt - BRM45JK,"R$ 3.999,00",https://www.magazineluiza.com.br/geladeira-brastemp-frost-free-duplex-375-litros-cor-inox-com-espaco-adapt-brm45jk/p/aa87k9kk77/ed/refr/
40,Geladeira Consul Frost Free Duplex 340L Evox,"R$ 3.570,00",https://www.magazineluiza.com.br/geladeira-consul-frost-free-duplex-340l-evox-com-prateleiras-altura-flex-crm39akana-110v/p/013080000/ed/refr/
41,Geladeira/Refrigerador Electrolux Frost Free,"R$ 5.269,00",https://www.magazineluiza.com.br/geladeira-refrigerador-electrolux-frost-free-inverse-400l-db44s/p/235130300/ed/rinv/
